time,open,high,low,close,volume,trades
1618174800,59707.79,59707.81,59488.57,59610.72,967.262478,51851
1618178400,59610.72,60130.57,59433.29,60101.68,2000.612746,80813
1618182000,60101.68,60107.96,59760,60002.43,1498.522957,72310
1618185600,59998.8,60355,59605,59830.28,1825.011152,77192
1618189200,59830.28,60147.9,59800,59865.36,1521.296424,51731
1618192800,59865.36,59922.88,59586.01,59694.25,1268.139445,49539
1618196400,59694.26,60456.29,59665,60368.96,2098.575788,68592
1618200000,60368.95,60607,60056,60126.54,2502.185128,74298
1618203600,60126.54,60287.19,60020,60207.01,1552.457457,56887
1618207200,60207.01,60842.92,60101.19,60826.66,2659.931894,97953
1618210800,60829.68,61300,60636.59,60711.01,4818.506765,133468
1618214400,60711,60840.57,60536.35,60694.42,2470.51527,78229
1618218000,60694.42,60878.25,59651,59992.22,4139.125287,132174
1618221600,59992.22,60277.76,59350.59,59776.71,4161.93653,110719
1618225200,59776.71,60269.02,59727.45,60241.5,2995.374453,75224
1618228800,60241.5,60564.19,60151.03,60421.84,2578.459033,87510
1618232400,60421.84,60584.28,60280,60304.69,2386.622666,63945
1618236000,60301.04,60345.5,59873.04,59888.44,2994.841826,75982
1618239600,59888.45,60129.43,59610.96,59986.83,3077.065446,112588
1618243200,59986.82,60112.36,59703.02,59972.5,2692.01222,85139
1618246800,59972.5,59972.5,59725.35,59749.4,1724.629658,59493
1618250400,59749.41,60018,59680.9,59988.95,1312.920477,50640
1618254000,59988.94,60223,59881.28,60090.41,1331.638954,52449
1618257600,60090.42,60241.32,59922.22,60049.92,1697.705759,61139
1618261200,60049.92,60073.8,59759.05,59992.53,1349.30976,56062
1618264800,59992.53,60072.3,59850,60044.75,1418.174164,46289
1618268400,60044.75,60100,59859.06,59860,1798.601561,49056
1618272000,59860.01,60473,59805.15,60452.35,2540.404587,67989
1618275600,60452.35,60780.26,60215,60641.13,3057.550989,59136
1618279200,60641.13,60951.27,60571.42,60829.01,3023.477817,67137
1618282800,60829.01,61100,60435.28,60493.43,3358.73602,93516
1618286400,60493.43,60650,60330.74,60585.4,2385.72594,61332
1618290000,60585.4,60814.16,60470,60668.74,1937.134735,79982
1618293600,60668.74,61415.5,60450.25,60719.86,5124.405057,154548
1618297200,60719.86,61190,60582.21,61050.99,2717.23696,102768
1618300800,61050.99,62878,61046.45,62711.51,11272.86549,305481
1618304400,62711.51,63287.88,62300.88,62924.24,6333.624079,190071
1618308000,62924.23,63100,62458,62745.56,4400.767576,141476
1618311600,62745.56,63093.82,62500,62942.21,3337.013558,128126
1618315200,62942.21,63260,62790.85,62973.25,4125.909956,153428
1618318800,62973.24,63019.97,62500,62787.35,4190.261038,110217
1618322400,62787.36,63031.34,62595.66,62920.99,2414.092233,82125
1618326000,62921,63657.86,62740,63331.83,4259.095727,123313
1618329600,63331.83,63777.77,62988,63150.79,4000.923562,124424
1618333200,63150.79,63364.75,63026.46,63332.85,2346.347961,82182
1618336800,63328.84,63548.7,62550,62641.77,3188.866516,104265
1618340400,62641.77,63046.13,62530,62997.02,2382.821555,104596
1618344000,62997.02,63210,62842.99,63167.72,1589.748821,111374
1618347600,63167.72,63320,62859.43,63139.99,1360.995683,68927
1618351200,63139.97,63300,62867.02,63238.81,1618.455859,102046
1618354800,63238.81,63666,63200,63575,1882.227029,85276
1618358400,63575.01,63869.99,63208.97,63315.03,2542.54651,102933
1618362000,63315.03,63484.16,63082,63446.84,2449.739766,74859
1618365600,63446.84,63459.53,63088.5,63208.66,1715.991618,54759
1618369200,63208.64,63865,63063.32,63749.19,2653.389128,77140
1618372800,63749.19,64280,63605.85,64268.97,3136.566814,103020
1618376400,64268.97,64720,63890.54,64038.49,4224.556908,119445
1618380000,64038.48,64854,63915,64577.26,4207.951122,155169
1618383600,64577.25,64655,64280,64288.8,2682.621518,122708
1618387200,64288.8,64565.54,63368,63928.57,3931.25458,160523
1618390800,63928.58,64165,63012.84,63568.42,4808.785992,137044
1618394400,63568.41,64151.97,63431.98,64099.99,3544.018237,101467
1618398000,64100,64787.98,64084.64,64511.21,3597.696262,96229
1618401600,64509.48,64640.58,63631.58,63871.42,3852.323304,98763
1618405200,63871.41,64466.66,63597.23,63772.67,3584.128345,98176
1618408800,63777.69,63782.09,62550,62996.12,5974.141695,194489
1618412400,62997.9,63383,62345.67,63045.02,4378.384772,139280
1618416000,63045.03,63680,62800,63484.79,3756.47563,121234
1618419600,63484.79,63764.62,62231.49,62250.14,3905.678478,101499
1618423200,62250.14,62697.53,61568,62119.26,5025.114605,130017
1618426800,62119.26,62496.45,61301,62150.04,4727.102401,119021
1618430400,62150.03,62479.08,61873.51,62397.39,1987.51545,68090
1618434000,62397.39,62838.18,62363.5,62773.65,2128.235856,88464
1618437600,62773.65,63048.82,62550,62842.13,1932.972332,89775
1618441200,62842.13,63062.38,62580.37,62959.53,1869.15267,91521
1618444800,62959.53,63491.45,62705,62705.01,2533.740053,93141
1618448400,62705,63171.87,62610.49,62660.02,1976.245139,59244
1618452000,62660.01,63075,62333.55,62821.63,1935.99892,62678
1618455600,62821.64,63243.64,62660.01,63056.61,1956.330202,59818
1618459200,63056.62,63460.22,62892.49,62950.08,1920.973428,62305
1618462800,62950.11,63288.87,62706.4,63109.5,1667.496606,63394
1618466400,63109.49,63299,62721.16,62936.19,1782.41775,69188
1618470000,62936.18,63200,62751.36,62842.56,1956.631009,75431
1618473600,62842.56,63137.92,62501.14,62615.33,2158.775618,81969
1618477200,62615.32,62829.36,62492.46,62615.42,1958.746693,68711
1618480800,62615.41,62732.78,62151,62154.24,2207.530719,80013
1618484400,62159.57,62480.35,62020,62361.12,2191.041044,81663
1618488000,62359.11,62737.76,62347.36,62635.71,1747.192166,75958
1618491600,62637.79,63074.05,62604.12,62918.66,2405.383364,95087
1618495200,62918.66,62993.53,62544.78,62627.28,2186.567976,90594
1618498800,62627.28,62763.24,62384.79,62715.18,2173.69562,86947
1618502400,62715.17,62980,62470.37,62665.57,2618.726894,97884
1618506000,62665.57,62717.82,62308,62581.43,1712.234047,65433
1618509600,62581.42,62840.36,62500.41,62733.84,1710.743636,78945
1618513200,62733.84,63573.02,62726.02,63363.29,4049.453314,141226
1618516800,63363.29,63592.24,63181.37,63350.89,3047.729738,119185
1618520400,63350.88,63800,63226.72,63369.5,2038.260233,91003
1618524000,63369.51,63518.22,63179.2,63252.27,2054.258481,77169
1618527600,63252.27,63339.99,62963.78,63159.98,1659.52769,61042
1618531200,63158.74,63520.61,63035.71,63360,3006.827351,83493
1618534800,63360,63472.41,62684.01,63015.01,4018.264148,98656
1618538400,63015.01,63211.7,62727.62,62830.43,3324.602377,87532
1618542000,62830.42,63200,62716.8,62937.91,2834.114157,76587
1618545600,62942.41,62961.81,61500,61658.05,5323.833118,135315
1618549200,61658.05,62187.64,61415.4,61799.59,4942.37151,131763
1618552800,61804.04,61804.04,61057.5,61455.69,5328.528357,127032
1618556400,61455.69,61637.96,61025,61414.83,3183.223378,96553
1618560000,61414.88,61607.83,61122,61191.91,2901.917131,86521
1618563600,61193.23,61264.46,60400,60643.79,5366.020212,139226
1618567200,60643.8,60969.5,60240,60247.54,4291.517046,134794
1618570800,60247.53,60880,60000,60853.81,5641.587599,154558
1618574400,60853.8,61011.22,60523.63,60716.32,4603.038648,104721
1618578000,60716.32,61173.22,60250,60546.68,6787.971502,151963
1618581600,60546.67,61460.35,60519.99,61256.63,5610.384857,146342
1618585200,61256.63,61627,61093.98,61551.62,3483.192984,126366
1618588800,61551.62,61800.39,61139.9,61722.39,5361.912921,148750
1618592400,61722.39,61848.94,61555,61572.03,2701.209617,110995
1618596000,61572.03,61823.74,61105,61817.56,2369.505443,89493
1618599600,61817.55,61877,61374.6,61713.43,2297.008779,85435
1618603200,61713.42,62000,61625.02,61914.7,2395.100497,84867
1618606800,61914.7,62087.98,61720.01,61727.45,1857.257354,77925
1618610400,61727.46,61979.32,61522.46,61547.33,2040.098696,91368
1618614000,61547.32,61663.75,61333,61334.8,2094.652202,69685
1618617600,61334.81,61740.04,61114.14,61439.99,2750.437848,93812
1618621200,61439.99,62010,61439.98,61887.24,2763.890141,86848
1618624800,61887.25,62308.67,61887.25,62164.89,2278.202602,78728
1618628400,62164.89,62506.05,61911.13,62372.27,2461.15624,123939
1618632000,62372.27,62464.38,62090.98,62221.03,2306.579408,77544
1618635600,62221.02,62287.28,61990.77,62159.71,1832.882067,69463
1618639200,62159.71,62181.53,61857.55,62000.75,1683.228638,92107
1618642800,62000.75,62305,61950,62114.99,1946.461233,84810
1618646400,62114.99,62400,62114.99,62399.86,2024.351333,80168
1618650000,62399.87,62458.28,61480.24,61711.29,3209.259242,141836
1618653600,61711.29,61891.33,61258.08,61365.23,2463.645618,88273
1618657200,61365.24,61455,60700.55,60886.91,3626.652038,125490
1618660800,60886.93,61089.85,60500,61061.52,3670.469209,160005
1618664400,61061.52,61187,60369.12,61025.41,3425.918475,133513
1618668000,61025.4,61222,60566.79,60610.97,2706.605498,106259
1618671600,60610.97,60655.5,60094,60264.66,3568.085586,124882
1618675200,60264.65,60685.51,59842.28,60377.01,3064.463258,107199
1618678800,60377.01,60592.95,59637.12,59705.62,2492.896022,80193
1618682400,59705.62,60525.8,59580.91,60379.99,2711.69592,85855
1618686000,60380,60785,60379.99,60705.02,1948.025682,71788
1618689600,60705.02,60887.07,60600.6,60802.38,1409.803915,64570
1618693200,60802.38,60955,60558.43,60713.98,1442.927726,65243
1618696800,60713.98,60819.95,60354.55,60633.78,1183.638388,54013
1618700400,60633.77,60804.57,59969.98,60006.66,1940.980041,72278
1618704000,60006.67,60499,59312.07,59386.59,3718.924307,113862
1618707600,59386.59,59737.31,58955.57,59220.01,4368.950424,123279
1618711200,59220.01,59481.79,58598.8,58804.21,4308.351015,106464
1618714800,58804.21,58984.69,50931.3,55014.46,15734.66463,436304
1618718400,55000.01,56033.92,53924.76,54829.24,12867.05188,317306
1618722000,54854.55,55850,54732.39,55569.18,6830.288929,181970
1618725600,55569.18,56381,55300,55728.66,5883.895972,176971
1618729200,55731.24,56527.04,55716.55,56180.34,4968.788579,137652
1618732800,56184.51,56498,54459.56,54953.65,7610.111419,165642
1618736400,54954.85,55294.21,54023.13,54964.61,7417.942167,170126
1618740000,54972,55364.11,54517.32,54640.93,4730.980604,124478
1618743600,54640.93,55079.62,53064.66,53308.92,5731.462727,145999
1618747200,53299.32,54999.71,53200,54947.24,6205.208238,146789
1618750800,54947.24,55309.34,54620.26,55169.06,4024.553454,106439
1618754400,55169.06,55774.23,55004.11,55135.56,4293.667419,112371
1618758000,55135.56,55574.23,54700,55452.45,4240.963043,115200
1618761600,55452.45,55967.66,55232.32,55432.76,4412.954789,124162
1618765200,55432.77,55645.01,54859.75,55150.01,2842.333004,87870
1618768800,55151.12,55685.27,54982.02,55473.86,2277.497083,78591
1618772400,55473.85,55817.54,55286.72,55720.66,2318.986866,79922
1618776000,55720.66,56288.58,55709.86,56179.99,2711.094549,89748
1618779600,56179.99,56363,55537.48,56300.01,2271.066583,92754
1618783200,56300.01,56688.28,56004.33,56535.85,2828.70946,98167
1618786800,56535.84,56600,56008,56150.01,2283.684681,112023
1618790400,56150.01,56841.89,55690.62,56771.94,3197.231432,131638
1618794000,56771.94,57099.91,56650,56757.4,2963.581032,121114
1618797600,56757.16,57222,56530.75,56883.43,2157.614801,77216
1618801200,56883.43,57291,56700.36,57030.9,2340.955612,82091
1618804800,57030.9,57171.73,56679.8,56951.86,2053.326189,77146
1618808400,56951.86,56965.3,56410.68,56500,2456.752607,67752
1618812000,56500.01,57339.8,56500,57249.99,2761.083254,72153
1618815600,57249.99,57485.46,57020.3,57323.35,3296.957371,89494
1618819200,57323.34,57526.81,56750.89,56778.8,4559.232894,134633
1618822800,56778.8,57098.86,56574.76,56681.9,3806.844848,124647
1618826400,56681.9,56785.5,56120.03,56522.65,4638.640988,154418
1618830000,56522.65,57323.99,56462,57107.4,3461.991479,119445
1618833600,57107.41,57142.2,56443.27,56515.7,2616.438302,82914
1618837200,56515.7,56783.36,56002.56,56630.91,4129.633471,129870
1618840800,56630.9,56635.1,55073.39,55439.86,7232.540775,171503
1618844400,55439.86,55475.3,54221.58,54585.22,6961.912914,170135
1618848000,54581.82,55554,54351.67,54826.99,4996.35731,113803
1618851600,54826.99,55491.64,54560.53,55369.68,2626.419804,63151
1618855200,55369.68,55826.49,55300.31,55635.03,2181.159165,108830
1618858800,55635.03,56100,55387.25,55930.94,2219.584181,65159
1618862400,55930.94,56410,55750,56130.02,2160.199067,57702
1618866000,56130.02,56600,55678.63,56245.2,1789.107932,68703
1618869600,56245.2,56348.05,55795.95,55993.56,1428.676676,45763
1618873200,55993.56,56199.74,55517.45,55633.14,2192.800163,61247
1618876800,55633.14,55792.15,54328.78,54631.29,5959.820842,145048
1618880400,54631.29,55378.42,54237.04,54764.12,3262.764215,106320
1618891200,54764.13,55350.28,54567.79,55258.63,1818.062278,56860
1618894800,55258.64,55486.31,54691.87,54950.04,2658.617538,78451
1618898400,54950.04,55189.97,53501.01,53856.35,4276.743236,125727
1618902000,53856.36,54431.04,53329.96,54410.57,3889.653608,109894
1618905600,54410.57,55313.9,54230.38,55220.29,3227.006177,95317
1618909200,55220.3,55433.4,54781.59,54889.16,2858.553356,86005
1618912800,54889.15,56239.31,54824.81,55908.52,4372.322489,138676
1618916400,55908.52,56419.13,55680.64,56266.83,2774.06053,109934
1618920000,56266.83,56290.31,55604.73,55801.14,2705.944348,77318
1618923600,55801.13,56320.55,55693.69,56317.99,2723.866998,79334
1618927200,56318,56455.93,55200,55336.14,4285.544393,112482
1618930800,55336.14,55567.87,54649.58,55323.19,3870.66336,105594
1618934400,55323.18,55798.28,55099.63,55784.86,3801.773065,103952
1618938000,55784.86,55935,55465.15,55871.72,2436.867565,71226
1618941600,55871.72,56500,55707.69,56253.81,3648.740969,95265
1618945200,56254.98,56782,56176.02,56572.44,3592.81465,94004
1618948800,56572.44,57076.24,56347.84,56725,3872.758905,101511
1618952400,56725.01,57020.77,56424.25,57020.76,2491.567737,128389
1618956000,57020.76,57050,56090,56380,2308.190909,70109
1618959600,56380,56573.54,56177.97,56425,1908.144983,57404
1618963200,56425,56757.91,55582.08,55679.99,3033.111594,95300
1618966800,55679.99,56205.88,55332.96,56044.2,3248.115675,79778
1618970400,56044.75,56300,55894.95,56109.73,1681.65384,78688
1618974000,56109.72,56171.39,55170.61,55204.6,2739.027026,75776
