time,open,high,low,close,volume
1578240000,7467.91,7484,7450,7461.38,1764.362509
1578243600,7461.26,7470.76,7445.15,7464.65,904.275876
1578247200,7464.62,7468.87,7421.77,7438.72,1226.760244
1578250800,7439.02,7449.69,7427.1,7444.14,952.37598
1578254400,7444.71,7445,7426,7431.6,687.771423
1578258000,7431.01,7431.53,7361.01,7368.52,2225.194358
1578261600,7367.62,7385.65,7318,7355.73,2249.586037
1578265200,7355.73,7363.35,7321,7358.75,1388.41772
1578268800,7357.64,7384.72,7346.76,7378.75,1358.867787
1578272400,7378.97,7426.82,7368.55,7423.5,1630.227541
1578276000,7423.06,7562,7421.64,7551.44,5819.256972
1578279600,7551.47,7580,7486.85,7540.9,4769.906356
1578283200,7540.9,7554.61,7516.06,7529.52,1554.582461
1578286800,7529.52,7541.55,7496,7532.85,1472.91993
1578290400,7532.85,7537.53,7510.99,7520,873.32937
1578294000,7520,7527.27,7505.57,7507.91,921.886394
1578297600,7508.18,7551.68,7507.39,7547.55,1690.857798
1578301200,7547.88,7553,7516.51,7550.78,2074.105876
1578304800,7550.84,7576.68,7535.64,7561.22,1912.728693
1578308400,7561.27,7582.27,7526.88,7544.72,2149.635226
1578312000,7544.72,7566.24,7535,7557.42,1484.613594
1578315600,7557.77,7622,7465.44,7528.64,3698.140842
1578319200,7528.59,7558.45,7505.02,7547.93,2383.745611
1578322800,7548.1,7553.28,7516.34,7519.99,1644.393877
1578326400,7519.05,7546.08,7509.43,7529.24,1626.355417
1578330000,7529.01,7561,7526.91,7558.48,1102.998522
1578333600,7558.78,7560,7525.96,7533,910.967306
1578337200,7532.5,7551.71,7524,7539.9,863.252634
1578340800,7539.74,7557.99,7534.9,7551.25,978.342912
1578344400,7551.24,7608,7547.56,7578.42,2101.577667
1578348000,7578.42,7752,7574.39,7712.63,6546.730323
1578351600,7712.58,7795.34,7690.7,7758,5066.272207
1578355200,7758.9,8000,7758.29,7888.42,12714.83071
1578358800,7889.64,7919.99,7866.01,7905.67,3784.606696
1578362400,7905.67,7940,7892.32,7896.2,2658.470846
1578366000,7896.08,7916.94,7885.75,7894.9,1811.52833
1578369600,7894.71,7905.5,7821,7840.83,3265.389556
1578373200,7839.75,7882.56,7826.63,7869.33,1749.120728
1578376800,7869.29,7876,7851.26,7872.91,1034.371143
1578380400,7873.05,7896.72,7857.53,7883.37,1730.807736
